Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,20.00,25.00,25.00,22.00,26.00,22.00,28.00,26.00,26.00,34.00,20.00,28.00
2013,24.00,25.00,24.00,27.00,24.00,22.00,24.00,26.00,28.00,24.00,25.00,28.00
2014,22.00,22.00,24.00,23.00,28.00,25.00,26.00,27.00,25.00,26.00,28.00,26.00
2015,19.00,26.00,30.00,21.00,24.00,24.00,28.00,23.00,26.00,25.00,23.00,24.00
2016,20.00,23.00,30.00,19.00,22.00,22.00,24.00,26.00,24.00,23.00,25.00,25.00
2017,23.00,28.00,29.00,20.00,23.00,24.00,25.00,24.00,25.00,27.00,24.00,22.00
2018,24.00,23.00,28.00,18.00,26.00,25.00,26.00,24.00,26.00,26.00,26.00,23.00
2019,21.00,24.00,29.00,21.00,25.00,26.00,26.00,26.00,28.00,31.00,26.00,27.00
2020,29.00,28.00,29.00,21.00,29.00,22.00,22.00,21.00,18.00,19.00,22.00,28.00
2021,23.00,26.00,25.00,25.00,25.00,30.00,28.00,23.00,20.00,20.00,18.00,22.00
2022,20.00,20.00,24.00,23.00,22.00,21.00,24.00,22.00,20.00,27.00,24.00,27.00
2023,20.00,17.00,21.00,18.00,20.00,20.00,23.00,24.00,24.00,24.00,22.00,21.00
2024,23.00,24.00,25.00,20.00,19.00,19.00,18.00,17.00,20.00,14.00,,
,,,,,,,,,,,,
